Time, ShooterVelocity, Position X, Position Y,
18282,1820.0,97.2,45.7
18308,1800.0,97.7,45.3
18345,1820.0,98.4,44.7
18376,1800.0,98.9,44.3
18425,1800.0,99.5,43.8
18456,1840.0,99.9,43.5
18478,1840.0,100.1,43.3
18503,1820.0,100.4,43.0
18531,1840.0,100.6,42.8
18554,1840.0,100.7,42.7
18584,1860.0,100.9,42.5
18611,1860.0,100.9,42.3
18637,1860.0,101.0,42.2
18659,1860.0,101.0,42.2
18684,1840.0,101.0,42.1
18708,1860.0,100.9,42.1
18738,1860.0,100.9,42.0
18772,1860.0,101.0,42.1
18805,1860.0,100.9,42.2
18834,1860.0,100.9,42.5
18880,1840.0,100.7,43.1
18922,1840.0,100.5,44.0
18954,1840.0,100.3,44.8
18981,1840.0,100.2,45.4
19010,1840.0,100.0,46.1
19040,1840.0,99.9,46.7
19061,1840.0,99.8,47.0
19085,1860.0,99.7,47.4
19108,1860.0,99.7,47.7
19135,1860.0,99.6,47.9
19159,1840.0,99.6,48.1
19184,1860.0,99.5,48.3
19212,1860.0,99.5,48.4
19243,1840.0,99.4,48.5
19273,1860.0,99.3,48.6
19311,1840.0,99.0,48.6
19334,1840.0,98.7,48.6
19361,1840.0,98.3,48.5
19404,1820.0,97.6,48.3
19449,1820.0,96.6,48.1
19483,1820.0,95.9,47.8
19508,1820.0,95.4,47.5
19534,1820.0,94.9,47.1
19570,1800.0,94.3,46.5
19593,1800.0,94.0,46.1
19617,1800.0,93.7,45.6
19645,1820.0,93.3,44.9
19672,1800.0,92.9,44.2
19698,1820.0,92.5,43.5
19724,1820.0,92.2,42.8
19753,1820.0,91.7,42.0
19779,1820.0,91.4,41.2
19807,1820.0,90.9,40.4
19841,1840.0,90.3,39.5
19868,1840.0,89.8,38.7
19896,1840.0,89.1,38.0
19928,1840.0,88.3,37.2
19970,1820.0,87.2,36.2
20003,1840.0,86.3,35.5
20033,1840.0,85.3,35.0
20063,1840.0,84.4,34.4
20106,1840.0,82.9,33.7
20132,1840.0,82.0,33.3
20157,1840.0,81.1,33.0
20180,1840.0,80.3,32.7
20202,1860.0,79.4,32.4
20224,1840.0,78.6,32.2
20251,1840.0,77.5,31.9
20276,1860.0,76.5,31.7
20304,1860.0,75.4,31.4
20332,1880.0,74.3,31.2
20364,1880.0,73.0,30.9
20388,1880.0,72.1,30.7
20415,1900.0,70.9,30.6
20450,1880.0,69.5,30.4
20492,1920.0,67.9,30.2
20524,1900.0,66.9,30.2
20547,1920.0,66.2,30.1
20569,1920.0,65.7,30.0
20615,1940.0,64.9,30.0
20660,1960.0,64.5,29.9
20687,1960.0,64.3,29.9
